"sequence","support","pattern"
"<{T},{K},{H}>",0.00459664123843854,3
"<{K},{C},{T}>",0.00455472657668986,3
"<{K},{F},{T}>",0.00454075502277363,3
"<{A},{E},{S}>",0.00454075502277363,3
"<{B},{G}>",0.00454075502277363,2
"<{S},{G}>",0.00454075502277363,2
"<{T},{H},{A}>",0.00454075502277363,3
"<{K,C}>",0.00452678346885741,2
"<{M},{F},{D}>",0.00452678346885741,3
"<{A},{M},{K}>",0.00451281191494118,3
"<{M},{T},{D}>",0.00451281191494118,3
"<{B},{C},{T}>",0.00449884036102495,3
"<{U},{I}>",0.00448486880710873,2
"<{A},{S},{I}>",0.00448486880710873,3
"<{M},{A},{U}>",0.0044708972531925,3
"<{A},{S},{F}>",0.00445692569927627,3
"<{A},{F},{K}>",0.00442898259144382,3
"<{F},{H},{K}>",0.00441501103752759,3
"<{A},{S},{C}>",0.00440103948361137,3
"<{B},{C},{F}>",0.00435912482186269,3
"<{P},{T}>",0.00430323860619778,2
"<{T},{H},{K}>",0.00430323860619778,3
"<{C},{E},{A}>",0.00430323860619778,3
"<{C},{H},{K}>",0.00428926705228155,3
"<{C},{S},{T}>",0.00427529549836533,3
"<{T},{M},{S}>",0.00427529549836533,3
"<{H},{P}>",0.00427529549836533,2
"<{B},{C},{M}>",0.00427529549836533,3
"<{H},{C},{F}>",0.00427529549836533,3
"<{M},{F},{I}>",0.0042613239444491,3
"<{A},{H},{F}>",0.0042613239444491,3
"<{T},{K},{M}>",0.00424735239053288,3
"<{K},{T},{C}>",0.00424735239053288,3
"<{E},{C},{S}>",0.00423338083661665,3
"<{K},{C},{F}>",0.00423338083661665,3
"<{M},{E},{B}>",0.00423338083661665,3
"<{F},{T},{E}>",0.0042054377287842,3
"<{K},{T},{F}>",0.00419146617486797,3
"<{C},{K},{M}>",0.00417749462095174,3
"<{F},{E},{A}>",0.00417749462095174,3
"<{C},{S},{F}>",0.00414955151311929,3
"<{E},{C},{H}>",0.00413557995920306,3
"<{H},{M},{F}>",0.00413557995920306,3
"<{F},{K},{A}>",0.00413557995920306,3
"<{T},{F},{S}>",0.00412160840528684,3
"<{H},{C},{M}>",0.00412160840528684,3
"<{A},{H},{C}>",0.00412160840528684,3
"<{C},{E},{T}>",0.00410763685137061,3
"<{T},{A},{E}>",0.00410763685137061,3
"<{H},{F},{C}>",0.00410763685137061,3
"<{A},{E},{F}>",0.00409366529745438,3
"<{S},{E}>",0.00409366529745438,2
"<{F},{K},{B}>",0.00409366529745438,3
"<{I},{A}>",0.00407969374353816,2
"<{M},{D},{T}>",0.0040517506357057,3
"<{F},{C},{E}>",0.00402380752787325,3
"<{B},{M},{A}>",0.00402380752787325,3
"<{C},{K},{A}>",0.00400983597395702,3
"<{K},{C},{M}>",0.0039958644200408,3
"<{H},{F},{M}>",0.00398189286612457,3
"<{E},{C},{M}>",0.00398189286612457,3
"<{C},{A},{I}>",0.00396792131220834,3
"<{M},{F},{T},{C}>",0.00396792131220834,4
"<{E},{G}>",0.00395394975829212,2
"<{A},{C},{E}>",0.00395394975829212,3
"<{H},{C},{A}>",0.00395394975829212,3
"<{K,T}>",0.00393997820437589,2
